query	protein	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits	mmseqs2_rank	logFC	se	df	t	pval	adjPval	group1	group2	batch
NbD017227.1	O04202	0.728	291	77	0	2	285	3	293	4.518e-137	432	1	2.829924373076566	0.04434337577716482	8.408782413842328	63.818424363935584	1.360906248892274e-12	1.4477450285834954e-10	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD017227.1	O04202	0.728	291	77	0	2	285	3	293	4.518e-137	432	1	-0.17850865131005933	0.0437844195043052	8.408782413842328	-4.076990247467071	0.00319507356673423	0.00522150281498483	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD017227.1	O04202	0.728	291	77	0	2	285	3	293	4.518e-137	432	1	-3.008433024386626	0.04543547406369607	8.408782413842328	-66.2133076936558	9.989320366449988e-13	1.3168187706113216e-10	Nb_35S_RAPTOR	Nb_35S_LST8	R0563
NbD019673.1	Q9LDD8	0.741	587	150	0	1	582	1	587	1.13e-287	883	1	0.5650731058793451	0.06125042602109568	7.243059109130563	9.225619192995072	2.9315717384177314e-5	6.601946838331867e-5	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD019673.1	Q9LDD8	0.741	587	150	0	1	582	1	587	1.13e-287	883	1	0.14886827545803843	0.06386351773549835	7.243059109130563	2.3310378246716974	0.0513326603690946	0.06998877156500906	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD019673.1	Q9LDD8	0.741	587	150	0	1	582	1	587	1.13e-287	883	1	-0.4162048304213067	0.05519616280147732	7.243059109130563	-7.540466751615694	1.116461131071925e-4	1.8159258586200803e-4	Nb_35S_RAPTOR	Nb_35S_LST8	R0563
NbD030909.1	Q9LU74	0.361	346	202	0	55	400	13	329	3.098e-40	155	1	-0.9081397725982914	0.12309334869056145	6.6950894591224275	-7.377651044990425	1.8920170127979192e-4	3.640625328674032e-4	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD030909.1	Q9LU74	0.361	346	202	0	55	400	13	329	3.098e-40	155	1	-0.4545056629797229	0.14341097395107855	6.6950894591224275	-3.169253024770387	0.01668308824381529	0.02443134653338798	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD030909.1	Q9LU74	0.361	346	202	0	55	400	13	329	3.098e-40	155	1	0.45363410961856854	0.1323322663608743	6.6950894591224275	3.427993202969062	0.01180168649100031	0.01513488382370533	Nb_35S_RAPTOR	Nb_35S_LST8	R0563
NbD035774.1	O65202	0.804	664	130	0	1	664	1	664	0	1127	1	0.4177966203391739	0.04406656888809309	8.162477348321755	9.48103360168946	1.1004396986936806e-5	2.713446232761239e-5	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD035774.1	O65202	0.804	664	130	0	1	664	1	664	0	1127	1	0.2421634734601266	0.04563389405636949	8.162477348321755	5.30665809849567	6.763566634500794e-4	0.00122396175467596	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD035774.1	O65202	0.804	664	130	0	1	664	1	664	0	1127	1	-0.17563314687904732	0.04347429139249141	8.162477348321755	-4.039931215747924	0.00358349107514185	0.00482260184449813	Nb_35S_RAPTOR	Nb_35S_LST8	R0563
NbD042820.1	Q9LF33	0.91	480	43	0	5	484	1	480	3.585e-299	911	1	1.4272613519381023	0.05982284083250677	7.759510185411828	23.85813398488009	1.53159688468663e-8	9.47808155232668e-8	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD042820.1	Q9LF33	0.91	480	43	0	5	484	1	480	3.585e-299	911	1	0.03757166092681749	0.06089208445326954	7.759510185411828	0.6170204430372414	0.5548891150593602	0.625282362190472	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD042820.1	Q9LF33	0.91	480	43	0	5	484	1	480	3.585e-299	911	1	-1.3896896910112848	0.06411332561475712	7.759510185411828	-21.67552030231008	3.1927308535193345e-8	1.24106064432056e-7	Nb_35S_RAPTOR	Nb_35S_LST8	R0563
NbD020416.1	Q42440	0.668	235	77	0	39	271	39	273	5.141e-99	321	1	-0.25491107210214403	0.07137549658119291	8.773387435780702	-3.571408737061058	0.00626314355513419	0.00936223666923371	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD020416.1	Q42440	0.668	235	77	0	39	271	39	273	5.141e-99	321	1	-0.32138040706656074	0.07137549658119292	8.773387435780702	-4.5026713992942335	0.00158154305014422	0.00271677598925198	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD020416.1	Q42440	0.668	235	77	0	39	271	39	273	5.141e-99	321	1	-0.0664693349644167	0.06916061317943921	8.773387435780702	-0.9610865478008428	0.36224601991227423	0.39596995843043103	Nb_35S_RAPTOR	Nb_35S_LST8	R0563
NbD023068.1	A9LLI7	0.493	902	434	0	10	911	13	869	8.609e-257	811	1	2.547277984427807	0.05463427976353809	9.046292278213592	46.624170675492515	4.323344651691545e-12	2.839434515614695e-10	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD023068.1	A9LLI7	0.493	902	434	0	10	911	13	869	8.609e-257	811	1	0.03355788444038045	0.05463427976353809	9.046292278213592	0.6142276348406511	0.5541961080956148	0.6246589835951581	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD023068.1	A9LLI7	0.493	902	434	0	10	911	13	869	8.609e-257	811	1	-2.5137200999874265	0.05429873268971411	9.046292278213592	-46.294268309205016	4.609053790285869e-12	2.5741565418746576e-10	Nb_35S_RAPTOR	Nb_35S_LST8	R0563
NbD029671.1	O64866	0.678	137	44	0	1	137	1	137	1.035e-56	192	1	3.317294984596272	0.10280724053548544	8.145370167617429	32.26713378666417	6.937506020484927e-10	8.354926388012577e-9	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD029671.1	O64866	0.678	137	44	0	1	137	1	137	1.035e-56	192	1	0.05743500541897419	0.09231636501761548	8.145370167617429	0.6221541046163879	0.5508548634889832	0.6218341409976698	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD029671.1	O64866	0.678	137	44	0	1	137	1	137	1.035e-56	192	1	-3.259859979177298	0.10280724053548544	8.145370167617429	-31.708466856982795	7.990008294586663e-10	6.685272857717831e-9	Nb_35S_RAPTOR	Nb_35S_LST8	R0563
NbD032369.1	Q9ZVU5	0.693	411	121	0	1	396	1	411	2.696e-183	571	1	0.5684866097559871	0.13251646341223175	8.475653989574116	4.289931945946527	0.00232026296150514	0.00368013308910365	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD032369.1	Q9ZVU5	0.693	411	121	0	1	396	1	411	2.696e-183	571	1	-0.7413281469120898	0.13251646341223175	8.475653989574116	-5.594234314916546	4.179973976956212e-4	7.807744033879747e-4	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD032369.1	Q9ZVU5	0.693	411	121	0	1	396	1	411	2.696e-183	571	1	-1.309814756668077	0.12430605204741016	8.475653989574116	-10.537015174196952	3.696344151954024e-6	7.760933116038805e-6	Nb_35S_RAPTOR	Nb_35S_LST8	R0563
NbD036285.1	Q94KD0	0.63	372	134	0	86	457	61	422	1.689e-110	364	1	0.13334077288060137	0.07397471210349815	6.950584389199151	1.8025183077974545	0.11476416910992648	0.14299116218158156	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD036285.1	Q94KD0	0.63	372	134	0	86	457	61	422	1.689e-110	364	1	-1.6212017533392586	0.06301331494900257	6.950584389199151	-25.72792360870582	3.7539484423136525e-8	2.0783942552983146e-7	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD036285.1	Q94KD0	0.63	372	134	0	86	457	61	422	1.689e-110	364	1	-1.75454252621986	0.06997341988552745	6.950584389199151	-25.07441438606534	4.4814452631548194e-8	1.6226172962541114e-7	Nb_35S_RAPTOR	Nb_35S_LST8	R0563
NbD011279.1	F4JQ95	0.674	450	146	0	39	488	44	492	4.533999999999999e-214	665	1	1.6363585982565094	0.06472196786509403	8.997647640161865	25.28289315410376	1.14372420361372e-9	1.2167047004157382e-8	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD011279.1	F4JQ95	0.674	450	146	0	39	488	44	492	4.533999999999999e-214	665	1	0.00841700071887832	0.06405115543541809	8.997647640161865	0.13141059925710585	0.8983419552393012	0.9224987028290502	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD011279.1	F4JQ95	0.674	450	146	0	39	488	44	492	4.533999999999999e-214	665	1	-1.627941597537631	0.06472196786509403	8.997647640161865	-25.152844563238556	1.1973396789320924e-9	9.118392485999997e-9	Nb_35S_RAPTOR	Nb_35S_LST8	R0563
NbD017222.1	Q39033	0.678	589	187	0	1	589	1	581	3.398e-273	842	1	-0.12951907989279676	0.07066784089931175	7.322232825231863	-1.832786713794424	0.10763139161761108	0.1344790429942635	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD017222.1	Q39033	0.678	589	187	0	1	589	1	581	3.398e-273	842	1	-1.4430672819420094	0.06315028124800179	7.322232825231863	-22.851319953348128	4.4705706720180746e-8	2.408429680632781e-7	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD017222.1	Q39033	0.678	589	187	0	1	589	1	581	3.398e-273	842	1	-1.3135482020492126	0.06687085176006413	7.322232825231863	-19.64306072789812	1.3320746762099197e-7	4.0877126739738473e-7	Nb_35S_RAPTOR	Nb_35S_LST8	R0563
NbD024675.1	Q9SAB1	0.593	763	289	0	1	711	1	763	5.840999999999999e-285	882	1	1.3776336329816652	0.09518211425622349	5.670960318404905	14.47366076858908	1.0785280677580652e-5	2.6697304192482193e-5	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD024675.1	Q9SAB1	0.593	763	289	0	1	711	1	763	5.840999999999999e-285	882	1	0.37686402835728394	0.07995334061326026	5.670960318404905	4.713549496076729	0.0038045302801598	0.00615001493912953	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD024675.1	Q9SAB1	0.593	763	289	0	1	711	1	763	5.840999999999999e-285	882	1	-1.0007696046243812	0.08074544766618941	5.670960318404905	-12.394130363381889	2.538717866625331e-5	4.535382418265486e-5	Nb_35S_RAPTOR	Nb_35S_LST8	R0563
NbD030896.1	P55737	0.934	699	46	0	1	699	1	699	0	1279	1	2.591217869399249	0.09154901959684368	9.007603972997856	28.30415749737407	4.1152961712791015e-10	5.745982279148446e-9	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD030896.1	P55737	0.934	699	46	0	1	699	1	699	0	1279	1	2.6648231350806175	0.0906799386360466	9.007603972997856	29.387129889623804	2.944054591894157e-10	5.5737440324504644e-9	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD030896.1	P55737	0.934	699	46	0	1	699	1	699	0	1279	1	0.0736052656813686	0.09154901959684368	9.007603972997856	0.8039984044122552	0.4420986397690524	0.4760898342945592	Nb_35S_RAPTOR	Nb_35S_LST8	R0563
NbD036596.1	O64640	0.567	316	133	0	14	329	9	317	5.043999999999999e-111	359	1	0.28722028946176237	0.04706570619503213	9.087192247978887	6.10253861424221	1.7172926957230152e-4	3.324464369363272e-4	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD036596.1	O64640	0.567	316	133	0	14	329	9	317	5.043999999999999e-111	359	1	0.10875422207764304	0.04719113943612959	9.087192247978887	2.304547492963916	0.0463869354275277	0.06366553945357561	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD036596.1	O64640	0.567	316	133	0	14	329	9	317	5.043999999999999e-111	359	1	-0.17846606738411935	0.04719113943612958	9.087192247978887	-3.7817706780668567	0.00426237111680548	0.0056950580591767	Nb_35S_RAPTOR	Nb_35S_LST8	R0563
NbD030920.1	Q6NPM8	0.657	345	117	0	5	346	1	345	3.6049999999999995e-145	458	1	0.08446931846569937	0.05516202100413128	7.354544527472279	1.5312948461292448	0.1675070461467932	0.2037629954216913	Nb_35S_LST8	Nb_35S_GFP	R0563
NbD030920.1	Q6NPM8	0.657	345	117	0	5	346	1	345	3.6049999999999995e-145	458	1	2.507439501835408	0.05773352099994816	7.354544527472279	43.43125897063613	3.887443926807943e-10	6.8094740750722444e-9	Nb_35S_RAPTOR	Nb_35S_GFP	R0563
NbD030920.1	Q6NPM8	0.657	345	117	0	5	346	1	345	3.6049999999999995e-145	458	1	2.4229701833697086	0.05101190976865169	7.354544527472279	47.49812728749659	2.0168398557762515e-10	2.574640135888083e-9	Nb_35S_RAPTOR	Nb_35S_LST8	R0563
